species,plant_date,plant_type,dbh,plot_size
Quercus suber :: Cork Oak,2007-12-14 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2006-03-15 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2007-12-17 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2006-03-23 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2007-12-17 00:00:00.000000 UTC,Tree,3,3X4
Quercus suber :: Cork Oak,2004-01-07 00:00:00.000000 UTC,Tree,3,3X5
Quercus suber :: Cork Oak,2014-08-06 00:00:00.000000 UTC,Tree,3,3x4
Quercus suber :: Cork Oak,2007-12-14 00:00:00.000000 UTC,Tree,3,3x4
Quercus suber :: Cork Oak,2007-12-14 00:00:00.000000 UTC,Tree,3,3x4
Quercus suber :: Cork Oak,2007-12-17 00:00:00.000000 UTC,Tree,3,3x4
Quercus suber :: Cork Oak,2016-01-27 09:31:00.000000 UTC,Tree,3,3x4
Quercus suber :: Cork Oak,2006-03-23 00:00:00.000000 UTC,Tree,3,3x4
Ficus nitida :: Laurel Fig,2015-02-03 15:15:00.000000 UTC,Tree,3,5x5
Ficus nitida :: Laurel Fig,2015-02-03 15:15:00.000000 UTC,Tree,3,5x5
Ficus nitida :: Laurel Fig,2016-09-13 07:32:00.000000 UTC,Tree,3,5x5
Olea europaea :: Olive Tree,2011-07-07 00:00:00.000000 UTC,Tree,3,1x1
Olea europaea :: Olive Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Olea europaea :: Olive Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Olea europaea :: Olive Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Olea europaea :: Olive Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Olea europaea :: Olive Tree,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Olea europaea :: Olive Tree,1997-05-16 00:00:00.000000 UTC,Tree,3,3X4
Quercus coccinea :: Scarlet Oak,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Quercus coccinea :: Scarlet Oak,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Quercus coccinea :: Scarlet Oak,2006-03-11 00:00:00.000000 UTC,Tree,3,3X4
Quercus coccinea :: Scarlet Oak,2006-03-23 00:00:00.000000 UTC,Tree,3,3x4
Ulmus parvifolia :: Chinese Elm,2003-04-23 00:00:00.000000 UTC,Tree,3,2X2
